Vorname,Mittlerer Name,Nachname,Katakana,Nationalität,Date of birth,Gender,Marital status,Place of Birth,Straße-permanent,postal code_permanent,Wohnort-permanent,c/o_permanent,Straße_present,postal code_present,Whnort-presentnt,c/o_present,e-mail,Telefon,date of arrival,intendest lengh of stay,passport number,date of expiration,place to apply for visa,Port of entry,previous visits,times,start_visit,end_visit,criminal_ecords,name_of_univ.,date_of_enrollment,date_of_graduation,Major,Minor,total_years_of_education,relation_name1,relation_birht1,nationality_1,place_of_employment1,status of residence1,relation1,relation_name2,relation_birht2,nationality_2,place_of_employment2,status of residence2,relation2,relation_name3,relation_birht3,nationality_3,place_of_employment3,status of residence3,relation3
Wolfgang,Hans,Baeck,ヴォルフガン,German,25.05.1991,m,single,Emden,Eckenerstr. 27,73430, Aalen,,Weißdornweg. 10/122,72074, Tübingen,,wolfgang.baeck@student.uni-tuebingen.de,0 86 41 - 78 10,05.04.2013,10,C1TV9VOF8,2014-12-01,München,Tokio,no,,,,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,Korean studies,13,,,,,,,,,,,,,,,,,,
Hans-Jörg,,van Laak,ハンスイェルグ・ヴァンラーク,German,25.03.1991,m,single,Norden,Goldmühlestr. 22,8325,Marquartstein,Wildemann,Lange Gasse 24,72074, Tübingen,,wakachan@web.de,02932 - 700 875,05.04.2013,10,138610,2015-02-24,München,Tokio,no,,,,no,Tuebingen University,01/10/10,7/31/2014,Japanese Studies,English literatuer,13,,,,,,,,,,,,,,,,,,
Susanne,Beatrix,Müller,ズザンネ・ミューラー,German,21.02.1990,f,single,Frankfurt,Schleißheimer Str. 217,72519, Verningenstadt,,Karlsstraße 11,72072, Tübingen,,susibea155@webmail.de,+49 89 975-4 13 33,05.04.2013,10,C9KR22HXY,2014-09-19,München,Osaka,no,,,,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,history,14,,,,,,,,,,,,,,,,,,
Jérôme,,Güdemann,ジェローム・ギュデマン,German,20.07.1991,m,single,Freiburg,Ignaz-Weißmüller-Str.14,38108, Braunschweig,,Siebenhöfestraße 109,72074, Tübingen,,jerome@guedemann.net,0241 - 9977474,05.04.2013,10,C9KRGY48M,2015-10-30,Berlin,Osaka,no,,,,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,German literature,13,,,,,,,,,,,,,,,,,,
Julia,Arne,Schäfer,ユリア・シェーファー,German,20.07.1990,f,single,Coburg,Galvanistr. 14,88045, Friedrichshafen,,Wilhelmstr. 90,72074, Tübingen,,julia.schaefer@student.uni-tuebingen.de,069 - 4980825,05.04.2013,10,C9KRLRZ2T,2017-05-12,München,Tokio,no,,,,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,Korean studies,13,,,,,,,,,,,,,,,,,,
Guo-Wan,,Li,グオワン・リ,Chinese,20.04.1988,f,single,Peking,Kirchberger Str. 21,88090, Immenstaad,,Wilhelmstr. 204,72072, Tübingen,,guo-wan.li@student.uni-tuebingen.de,06352-5519,05.04.2013,10,CGT1JY955,2016-03-04,München,Osaka,yes,1,01/08/01,01/09/01,no,Tuebingen University,01/10/11,9/30/2015,Japanese Studies,Linguistics,13,,,,,,,,,,,,,,,,,,
Nils,Sascha,Hübner,ニルス・ヒューブナー,German,20.02.1991,m,single,Tübingen,Max-Eyth-Straße 5,22926, Ahrensburg,,Dorfackerstraße 4,72074, Tübingen,Hofschuster,nils.huebner@vdi.de,1704112588,05.04.2013,10,698723348,2014-09-27,Hamburg,Tokio,no,,,,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,informatics,15,,,,,,,,,,,,,,,,,,
Evelyn,,Schmid,エベリン・シュミット,German,19.11.1987,f,single,Trier,Hofheimerstr. 31,67663,Kaiserslautern,,Eberhardstr. 18,72072, Tübingen,,evelyn.schmid@student.uni-tuebingen.de,0631-27932,05.04.2013,10,CMEW98TRY,2016-03-15,Frankfrut,Tokio,no,,,,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,law,13,,,,,,,,,,,,,,,,,,
Anita,Elisabeth,Schreiber,アニタ・シュライバー,German,19.03.1988,f,single,Stuttgart,Gymnasiumstr. 6,70794, Filderstadt,,Gymnasiumstr. 6,70794, Filderstadt,,phukjiu@gmx.net,07071-367181,05.04.2013,10,C9ZTF98ZZ67,2016-05-08,München,Osaka,no,,,,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,German literature,13,,,,,,,,,,,,,,,,,,
Keiko,Mayumi,Seebruck,恵子真由美・セーブルック,Japanese,16.06.1986,f,single,Hamburg,Joh.-Seb.-Bach Str. 6,72076,Tübingen,,Joh.-Seb.-Bach Str. 6,72076, Tübingen,,Keikochan@gmail.com,03331 - 269633,05.04.2013,10,TZ0750314,2015-11-28,München,Tokio,yes,5,15/09/10,23/05/11,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,Chinese,13,"Tanaka, Makiro",19/9/55,Japanese,retired,,grandfather,"Tanaka, Junko",18/8/57,Japanese,housewife,,grandmother,"Hashimoto,Waka",18/10/77,Japanese,Rikkyo university,,aunt
Andreas,Gunther,de Santis,アンドレアス・デサンティス,Swiss,13.09.1989,m,single,Zürich,Galvanistr. 14,CH-80987, Zürich,,Matthildenstraße 38,72072, Tübingen,,andreasgunti@t-online.de,03447 - 56980,05.04.2013,10,C2KRN34Z7,2014-11-12,Bern,Osaka,no,,,,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,Korean studies,13,,,,,,,,,,,,,,,,,,
Peter,Michael,Teufel,ペター・トイフェル,German,13.04.1990,m,single,Lübeck,Bei der Fruchtschranne 2,91413, Neustadt an der Aisch,,,72074, Tübingen,,peter-michael.teufel@student.uni-tuebingen.de,04202 - 953176,05.04.2013,10,C8KRLLZ27,2016-11-15,Berlin,Tokio,no,,,,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,Korean studies,13,,,,,,,,,,,,,,,,,,
Kathlee´n,,Schmidt,カスリーン・シュミット,German,12.12.1992,f,single,Berlin,Sickstr. 40,12163, Berlin,,,72072, Tübingen,,kati_schmidt@yahoo.de,030-839-07153,05.04.2013,10,C9KR35HWZ,2017-04-08,Berlin,Tokio,no,,,,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,cultural studies,14,,,,,,,,,,,,,,,,,,
Karina,Tamiko,Meyer,カリナ・マイアー,German,10.10.1991,f,single,Karlsruhe,Metzingerstr. 5,57610,Altenkirchen,,Hopfenwiese,72074, Tübingen,,karina.meyer@student.uni-tuebingen.de,02681 - 2056,05.04.2013,10,C8KR812YN,2015-08-20,Frankfrut,Tokio,yes,6,31/07/10,11/09/10,no,Tuebingen University,01/10/11,7/31/2015,Japanese Studies,economics,13,"Hayashi, Nobuo",23/03/51,Japanese,retired,,grandfather,"Hayashi, Mitsue",19/09/68,Japanese,Sony Inc.,,uncle,,,,,,
